Original - live 		 Stemmed - live 		 Corrected - live
Original - uniqueness 	 Stemmed - uniqu 		 Corrected - uniqu
Original - worded 		 Stemmed - word 		 Corrected - word
Original - stopping 		 Stemmed - stop 		 Corrected - stop
Original - minimize 		 Stemmed - minim 		 Corrected - minim
Original - modeled 		 Stemmed - model 		 Corrected - model
Original - training 		 Stemmed - train 		 Corrected - train
Original - opened 		 Stemmed - open 		 Corrected - open
Original - walking 		 Stemmed - walk 		 Corrected - walk
Original - architectural 	 Stemmed - architectur 	 Corrected - architectur
Original - knowing 		 Stemmed - know 		 Corrected - know
Original - cut 		 Stemmed - cut 		 Corrected - cut
Original - dating 		 Stemmed - date 		 Corrected - date
Original - currently 		 Stemmed - current 		 Corrected - current
Original - larger 		 Stemmed - larger 		 Corrected - larger
Original - linguistic 		 Stemmed - linguist 		 Corrected - linguist
Original - basing 		 Stemmed - base 		 Corrected - base
Original - ais 		 Stemmed - ai 		 Corrected - ai
Original - januarial 		 Stemmed - januari 		 Corrected - januari
Original - 2025 		 Stemmed - 2025 		 Corrected - 2025
Original - within 		 Stemmed - within 		 Corrected - within
Original - surely 		 Stemmed - sure 		 Corrected - sure
Original - users 		 Stemmed - user 		 Corrected - user
Original - assisting 		 Stemmed - assist 		 Corrected - assist
Original - informative 	 Stemmed - inform 		 Corrected - inform
Original - requested		 Stemmed - request 	 Corrected - request
Original - answering	 Stemmed - answer 		 Corrected - answer
Original - generating 	 Stemmed - gener 		 Corrected - gener
Original - naturally 		 Stemmed - natur 		 Corrected - natur
Original - processed 	 Stemmed - process 	 Corrected - process
Original - textual 		 Stemmed - textual 		 Corrected - textual
Original - understanding 	 Stemmed - understand 	 Corrected - understand
Original - capability 		 Stemmed - capabl 		 Corrected - capabl
Original - systematic 	 Stemmed - systemat 	 Corrected - systemat
Original - providing 		 Stemmed - provid 		 Corrected - provid
Original - responsive 	 Stemmed - respons 	 Corrected - respons
Original - querying 		 Stemmed - queri 		 Corrected - queri
Original - conversational 	 Stemmed - convers 	 Corrected - convers
Original - artificially 		 Stemmed - artifici 		 Corrected - artifici
Original - intelligent 		 Stemmed - intellig 		 Corrected - intellig
Original - developing 	 Stemmed - develop 	 Corrected - develop
Original - contextual 	 Stemmed - contextu 	 Corrected - contextu
Original - learned 		 Stemmed - learn 		 Corrected - learn
Original - algorithmic 	 Stemmed - algorithm 	 Corrected - algorithm
Original - interacting 	 Stemmed - interact 	 Corrected - interact
Original - enhancing 	 Stemmed - enhanc 	 Corrected - enhanc
Original - comprehensive 	 Stemmed - comprehens 	 Corrected - comprehens
Original - broaden 		 Stemmed - broaden 	 Corrected - broaden
Original - ranging 		 Stemmed - rang 		 Corrected - rang
Original - tasked 		 Stemmed - task 		 Corrected - task
Original - running 		 Stemmed - run 		 Corrected - run
Original - smiling 		 Stemmed - smile 		 Corrected - smile
